,id,precio,geom,numfotos,planta,precioinfo,tipo_propiedad,tamaño_m2,es_exterior,n_habitaciones,n_baños,direccion,provincia,municipio,distrito,pais,barrio,estado,tiene_ascensor,parking,precio_m2,tipo_detalle,texto_sugerido,codigo_distrito
1004,110336964,1889000.0,0101000020E6100000182A5A14D16A0DC04152FAF83A354440,14,4.0,"{'price': {'amount': 1889000.0, 'currencySuffix': '€'}}",flat,155.0,True,3,3,"CL DOCE DE OCTUBRE, 5",Madrid,Madrid,Retiro,es,Ibiza,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12187.0,{'typology': 'flat'},,
1005,102437907,6650000.0,0101000020E61000009E31827CBF870DC03CCFE9C3C4354440,4,3.0,"{'price': {'amount': 6650000.0, 'currencySuffix': '€'}}",flat,410.0,True,5,4,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,renew,True,,16220.0,{'typology': 'flat'},,
1006,109220868,695000.0,0101000020E6100000726C3D4338660DC09324BEC925344440,5,2.0,"{'price': {'amount': 695000.0, 'currencySuffix': '€'}}",flat,93.0,True,3,2,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,,7473.0,{'typology': 'flat'},,
1007,107736803,2290000.0,0101000020E6100000F83999130F830DC0E7E9B70ABD344440,7,2.0,"{'price': {'amount': 2290000.0, 'currencySuffix': '€'}}",flat,164.0,True,3,3,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,13963.0,{'typology': 'flat'},,
1008,106840461,3400000.0,0101000020E610000069C6A2E9EC840DC025D5D237C4354440,7,2.0,"{'price': {'amount': 3400000.0, 'currencySuffix': '€'}}",flat,260.0,True,4,4,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,13077.0,{'typology': 'flat'},,
1009,109964447,405000.0,0101000020E6100000006201028C6D0DC093E755F88E334440,20,5.0,"{'price': {'amount': 405000.0, 'currencySuffix': '€'}}",flat,46.0,True,1,1,calle de Juan de Urbieta,Madrid,Madrid,Retiro,es,Pacífico,good,True,,8804.0,{'typology': 'flat'},,
1010,106877429,848000.0,0101000020E610000035B808E7AE600DC0917EFB3A70354440,7,4.0,"{'price': {'amount': 848000.0, 'currencySuffix': '€'}}",flat,97.0,True,2,2,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,8742.0,{'typology': 'flat'},,
1011,109297299,1400000.0,0101000020E61000000EE7D0D84D6F0DC067E43D18C2354440,16,3.0,"{'price': {'amount': 1400000.0, 'currencySuffix': '€'}}",flat,134.0,True,2,2,calle de Antonio Acuña,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10448.0,{'typology': 'flat'},,
1012,110341272,560000.0,0101000020E6100000A425451ACB6A0DC01F5DB6E743344440,28,3.0,"{'price': {'amount': 560000.0, 'currencySuffix': '€'}}",flat,86.0,True,2,2,calle de Narciso Serra,Madrid,Madrid,Retiro,es,Pacífico,good,True,,6512.0,{'typology': 'flat'},,
1013,110321168,750000.0,0101000020E61000000A2C802903670DC0E78F696D1A344440,18,7.0,"{'price': {'amount': 750000.0, 'currencySuffix': '€'}}",flat,105.0,True,3,2,calle de Cavanilles,Madrid,Madrid,Retiro,es,Pacífico,good,True,,7143.0,{'typology': 'flat'},,
1014,82971852,6000000.0,0101000020E61000006774513E4E820DC08A39083A5A354440,6,2.0,"{'price': {'amount': 6000000.0, 'currencySuffix': '€'}}",flat,533.0,True,6,6,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,renew,True,,11257.0,{'typology': 'flat'},,
1015,109973767,630000.0,0101000020E61000005343763980690DC069DA0FC2ED334440,13,8.0,"{'price': {'amount': 630000.0, 'currencySuffix': '€'}}",flat,55.0,True,3,1,calle de Cavanilles,Madrid,Madrid,Retiro,es,Pacífico,renew,True,,11455.0,{'typology': 'flat'},,
1016,108186640,595000.0,0101000020E610000047A4124317690DC0FED5E3BED5354440,30,3.0,"{'price': {'amount': 595000.0, 'currencySuffix': '€'}}",flat,71.0,False,2,2,calle de Lope de Rueda,Madrid,Madrid,Retiro,es,Ibiza,good,True,,8380.0,{'typology': 'flat'},,
1017,109856414,899000.0,0101000020E6100000B31E6393A14F0DC0942EFD4B52344440,27,2.0,"{'price': {'amount': 899000.0, 'currencySuffix': '€'}}",flat,173.0,True,4,2,calle de Sirio,Madrid,Madrid,Retiro,es,Estrella,good,True,,5197.0,{'typology': 'flat'},,
1018,109366225,1279000.0,0101000020E6100000D904BDDCCC5D0DC06A7B05B353354440,14,2.0,"{'price': {'amount': 1279000.0, 'currencySuffix': '€'}}",flat,124.0,False,3,3,calle de Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10315.0,{'typology': 'flat'},,
1019,109261087,2000000.0,0101000020E6100000504DEE1C6F870DC052280B5F5F344440,5,1.0,"{'price': {'amount': 2000000.0, 'currencySuffix': '€'}}",flat,120.0,True,3,3,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,16667.0,{'typology': 'flat'},,
1020,110393912,680000.0,0101000020E6100000F64B7ACECC620DC0D4168D6B32344440,2,2.0,"{'price': {'amount': 680000.0, 'currencySuffix': '€'}}",flat,80.0,True,3,2,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,,8500.0,{'typology': 'flat'},,
1021,110082854,1190000.0,0101000020E6100000F42D1801BA740DC0951BFB4800344440,52,3.0,"{'price': {'amount': 1190000.0, 'currencySuffix': '€'}}",flat,146.0,True,3,4,paseo de la Reina Cristina,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,8151.0,{'typology': 'flat'},,
1022,109999663,1180000.0,0101000020E610000041C28B193C670DC07DF8437DDC354440,7,1.0,"{'price': {'amount': 1180000.0, 'currencySuffix': '€'}}",flat,114.0,True,3,2,CL FERNAN GONZALEZ,Madrid,Madrid,Retiro,es,Ibiza,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10351.0,{'typology': 'flat'},,
1023,108159645,830000.0,0101000020E6100000717907D38B650DC0C9A76CFD99354440,21,2.0,"{'price': {'amount': 830000.0, 'currencySuffix': '€'}}",flat,90.0,True,2,2,calle del Alcalde Sainz de Baranda,Madrid,Madrid,Retiro,es,Ibiza,good,True,,9222.0,{'typology': 'flat'},,
1024,109496553,316000.0,0101000020E6100000DFCBD82B87710DC00F1AB09A9D334440,24,4.0,"{'price': {'amount': 316000.0, 'currencySuffix': '€'}}",flat,43.0,False,1,1,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,,7349.0,{'typology': 'flat'},,
